Pseudowort	Loss (max)	Loss (min)	Anz. Schritte
ist1461	5.68	3.64	1431
ist1462	4.49	2.35	1781
ist1554	6.27	3.01	1450
ist1660	7.78	3.41	1781
ist1715	3.14	2.26	1660
ist1792	5.83	3.52	1273
ist1835	3.64	2.13	1495
ist1846	2.26	1.3	1417
ist1881	4.32	3.43	1366
ist1884	4.82	3.88	1331
ist875	4.14	3.69	1241
ist976	5.02	3.91	1121
je111	4.72	4.39	1225
jedermanns1329	8.67	8.34	1341
jetzt1631	5.39	0.417	2998
kam676	3.73	2.53	1556
kann1593	3.95	3.21	1387
kaum11	6.29	5.56	1361
kaum1986	5.49	4.18	1411
kein1461	7.04	3.86	1411
kein1462	5.14	3.37	1661
kein1525	3.0	0.0508	9691
kein1690	2.68	0.139	4999
kein1715	4.25	0.219	2499
kein1881	5.25	4.4	1329
kein902	3.23	0.0979	4998
kein949	3.54	3.3	1417
keine1461	3.29	0.291	2499
keine1525	1.49	0.0216	9725
keine1715	1.68	0.0627	4999
keine1835	2.19	0.0542	4999
keine1881	2.4	0.173	4999
keine605	2.15	0.0316	4999
keine902	3.49	1.13	1781
keine949	3.32	2.84	1371
keiner1792	1.31	0.0217	9117
kommen1509	6.8	0.286	8549
kommen676	3.94	2.3	1657
kommt1509	6.76	3.61	1540
kommt676	4.18	2.39	1759
käme676	12.5	8.95	1573
lassen1289	4.67	3.3	1781
lecker1649	11.7	10.2	1657
ließ1289	5.76	2.06	2998
lässt1289	4.23	1.37	2499
mag605	1.52	0.0164	8578
meinem605	3.09	0.146	7923
meisten488	4.5	4.11	1473
meisten492	5.85	5.13	1396
mich1573	4.51	1.9	2217
mich1574	4.87	2.79	1813
mir1582	5.84	2.16	2140
mit1846	2.81	1.95	1486
mit683	5.84	5.12	1289
mords651	5.1	1.69	2497
muss1300	2.07	0.00211	9999
musste1509	5.17	0.134	8050
neue875	3.9	3.65	1216
neuen875	4.52	2.92	1661
nicht.“1779	17.8	5.25	9951
nicht1162	6.62	6.14	1321
nicht1690	8.46	2.01	1997
nicht1779	5.37	4.6	1396
nicht902	4.31	3.98	1297
nicht904	5.16	4.69	1398
niemand1525	4.48	1.89	2140
niemand1792	2.71	1.25	1495
noch12	6.68	6.45	1219
noch1770	6.53	5.25	1431
nämliche104	10.9	3.7	2497
ob1315	10.4	1.11	1473
ob133	6.24	5.45	1396
oder1162	7.48	6.07	1281
oder1779	5.44	3.47	1501
oder973	4.55	3.96	1201
ohne1690	3.7	0.507	2998
ohne949	4.8	4.42	1216
ohnegleichen618	18.9	15.2	1495
par1342	7.24	4.72	1556
pur.»1323	11.3	3.32	9999
pur1323	5.58	4.14	1759
pur«1323	15.2	4.19	9798
raus1316	3.38	2.25	1371
recht5	6.34	5.78	1340
rein1316	4.79	4.42	1361
satt1324	3.2	1.9	1813
schlechthin1556	13.0	10.6	1759
schlechthin»1556	20.7	7.28	9999
schon5	5.8	5.61	1205
sehr1987	4.75	4.43	1396
sei125	6.0	3.42	1450
seien1660	1.98	0.0975	9962
sein1289	5.02	4.54	1513
selben1777	13.0	12.7	1431
sich1573	6.56	5.79	1411
sich1574	5.71	4.0	1661
sich1582	6.44	6.07	1475
sie1346	8.6	0.97	8437
silber1554	6.07	0.835	7577
sind130	4.55	0.678	3331
sind1459	4.86	3.34	1411
sind1554	3.65	0.455	7950
sind1660	5.05	0.885	4999
sind1881	4.26	0.742	2499
sind875	5.64	3.92	1486
sind976	4.18	3.76	1261
so1134	5.08	3.85	1431
so135	5.51	5.15	1248
so1760	5.14	4.69	1223
so1831	4.65	3.78	1396
so74	4.06	3.63	1392
so98	5.32	5.17	1191
solch78	6.43	1.58	3331
soll605	2.45	0.037	9139
sondergleichen618	22.9	16.0	2217
sondergleichen»618	13.4	5.23	4999
sondern902	5.38	5.17	1261
sowohl1134	3.38	3.29	1273
stand1346	5.18	0.384	9999
statt320	3.95	3.52	1501
statt882	5.19	4.71	1377
steht1346	7.24	4.53	1813
um350	6.26	5.68	1392
umso111	12.0	11.6	1225
und11	7.28	6.29	1313
und1140	6.36	5.4	1301
und1849	2.97	2.19	1461
und5	5.45	5.15	1225
und697	6.3	5.37	1281
und777	6.81	5.56	1327
und904	4.99	4.65	1398
uns1574	4.2	1.48	2497
uns1582	7.33	1.69	3331
unter671	5.44	4.96	1277
von1034	5.43	3.53	1331
von1035	6.09	2.06	1916
von127	5.21	4.44	1377
von1629	4.36	0.0723	7977
von1772	3.89	2.59	1660
vor559	5.44	4.32	1340
war1313	4.17	0.332	2998
war1459	5.74	5.51	1277
war1461	2.1	0.0307	7816
war1462	3.73	0.0821	8058
war1660	2.52	0.122	7722
